タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
jppfs_cor:CurrentAssetsAbstract,流動資産 [タイトル項目],Current assets,Current assets [abstract]
jppfs_cor:CashAndDeposits,現金及び預金,Cash and deposits,Cash and deposits
jppfs_cor:NotesReceivableTrade,受取手形,Notes receivable - trade,Notes receivable-trade
jppfs_cor:OperatingAccountsReceivableOfHighwayBusinessCAHWY,高速道路事業営業未収入金、流動資産、高速道路事業,Operating accounts receivable of highway business,Operating accounts receivable of highway business-CA-HWY
jppfs_cor:AccountsReceivableOther,未収入金,Accounts receivable - other,Accounts receivable-other
jppfs_cor:AccruedIncome,未収収益,Accrued income,Accrued income
jppfs_cor:ShortTermLoansReceivable,短期貸付金,Short-term loans receivable,Short-term loans receivable
jppfs_cor:ShortTermInvestmentSecurities,有価証券,Securities,Securities
jppfs_cor:Inventories,たな卸資産,Inventories,Inventories
jppfs_cor:HighwayAssetsInProcessCAHWY,仕掛道路資産、流動資産、高速道路事業,Highway assets in process,Highway assets in process-CA-HWY
jppfs_cor:RawMaterials,原材料,Raw materials,Raw materials
jppfs_cor:Supplies,貯蔵品,Supplies,Supplies
jppfs_cor:OtherInventories,その他のたな卸資産,Other inventories,Other inventories
jppfs_cor:AdvancePaymentsForHighwayManagementHWY,高速道路事業受託業務前払金、流動資産、高速道路事業,Advance payments for highway management,Advance payments for highway management-HWY
jppfs_cor:AdvancePaymentsForManagementCAHWY,受託業務前払金、流動資産、高速道路事業,Advance payments for management,Advance payments for management-CA-HWY
